# Crypto Prices - Updated: 2026-08-26 13:27:42 UTC
# Source: CoinGecko API
# Total coins: 250

BTC|Bitcoin|78028.00000000|1566846555930|30919207421|-0.94|21.50|20.40
ETH|Ethereum|2440.86000000|294657530675|12128615998|-0.80|27.80|25.40
USDT|Tether|0.99988200|183207503450|53347046854|-0.00|0.10|0.10
BNB|BNB|697.49000000|92902376910|850931928|0.37|16.50|22.50
XRP|XRP|1.39000000|87120120294|3666753747|-4.48|40.30|27.60
USDC|USDC|0.99991700|73572406100|15615405748|-0.00|0.00|0.00
SOL|Solana|96.09000000|56073290073|3244850684|-1.65|25.30|26.90
TRX|TRON|0.33525000|31821802713|568217535|-1.96|1.10|1.60
FIGR_HELOC|Figure Heloc|1.01000000|21961794243|436874097|-2.86|0.50|-0.50
HYPE|Hyperliquid|80.82000000|17987645698|1144670205|1.94|39.50|37.00
DOGE|Dogecoin|0.08552500|13317646294|699902529|-3.95|23.10|19.10
ZEC|Zcash|767.18000000|12996714390|1067954675|-6.37|54.20|55.40
RAIN|Rain|0.01746922|12388423094|44955050|20.56|34.40|25.90
USDS|USDS|0.99983900|9729257932|143427482|-0.01|0.00|0.00
LEO|LEO Token|9.28000000|8539957529|252639|-0.76|1.40|-4.40
WBT|WhiteBIT Coin|72.13000000|8507842297|124840988|-0.82|30.30|26.90
LINK|Chainlink|11.29000000|8447510718|366095449|-1.76|16.90|30.40
XMR|Monero|437.55000000|8219847265|88105879|0.12|5.90|24.60
ADA|Cardano|0.20743800|7782312661|379421718|-3.63|20.10|27.60
XLM|Stellar|0.18173400|6290043794|187921579|-4.26|16.60|1.00
BCH|Bitcoin Cash|264.38000000|5310877419|118169966|-1.11|30.90|21.90
CC|Canton|0.11590400|4572057400|11303205|-1.90|29.20|-5.10
DAI|Dai|0.99983500|4570870473|259675545|-0.01|0.00|0.00
USD1|USD1|0.99966400|4064027864|955823930|-0.01|0.10|0.10
USDE|Ethena USDe|0.99974900|4052595238|42526508|0.00|0.00|0.00
GRAM|Gram (prev. Toncoin)|1.40000000|3882629149|41843070|-2.88|7.00|-5.80
LTC|Litecoin|49.96000000|3875278235|315899494|-1.96|12.70|7.40
USDG|Global Dollar|1.00000000|3381891744|389366039|0.01|0.00|0.00
HBAR|Hedera|0.07691400|3372565572|81718396|-3.76|15.10|12.60
AVAX|Avalanche|7.29000000|3150470450|186125347|-2.47|16.60|10.40
SHIB|Shiba Inu|0.00000525|3092345390|94972994|-3.42|18.50|6.60
SUI|Sui|0.74632600|3042432788|455660388|-5.38|14.90|5.60
USYC|Circle USYC|1.14000000|2925774378|0|0.01|0.10|0.50
XAUT|Tether Gold|4595.59000000|2816256855|206364929|0.02|5.80|12.80
CRO|Cronos|0.05792000|2809302322|8772586|-4.58|25.70|2.10
BUIDL|BlackRock USD Institutional Digital Liquidity Fund|1.00000000|2800146877|0|0.00|0.00|0.00
PYUSD|PayPal USD|0.99998500|2762758192|127628256|0.02|0.00|0.10
UNI|Uniswap|4.25000000|2650952468|246677810|-2.50|26.80|11.30
M|MemeCore|1.13000000|2571122712|3578326|-4.05|2.00|-7.80
NEAR|NEAR Protocol|1.84000000|2399040091|182285681|-3.02|14.30|1.20
OKB|OKB|112.49000000|2362710892|24879495|-1.66|11.30|31.20
TAO|Bittensor|231.07000000|2218717103|148228161|-1.76|21.30|17.80
USDY|Ondo US Dollar Yield|1.14000000|2184661319|2476203|-0.34|0.10|0.70
RLUSD|Ripple USD|1.00000000|2087624110|199313409|0.02|0.00|0.00
PAXG|PAX Gold|4602.84000000|1989021138|136236241|-0.03|5.80|12.90
AAVE|Aave|123.94000000|1913084391|243742721|-4.14|41.40|25.00
